state,state_name,Accessory Apartments Banned,No Flexible Zoning By Right,No Flexible Zoning By Permit,Affordable Incentive,Affordable Mandate,Zoning District Count,Permit Cap Or Phasing,Wetlands Restricted in Lot Size Calc,Longest Frontage Requirement,Highest Res Min Lot Size,Mean Res Min Lot Size,Lowest Res Min Lot Size,Mandatory Approval Steps,Distinct Approval Bodies,Public Hearing Requirements,Max Review Waiting Time,Multifamily Not Allowed,No Mixed-Use Buildings,No Conversion to Multifamily,Townhouses Not Allowed,Age-Restricted Provisions,First_PC,Second_PC,Third_PC,Overall_Index
01,AL,0.2098167299440517,0.17633724076512372,0.954614988004994,0.0,0.0,23.611780459432165,0.052311435523114354,0.032917023534073914,64.98464404872998,20868.84131011884,11048.173719477563,5575.085424469812,4.179524546085964,2.729352823620148,0.28772354813555423,116.33985921314465,0.9891373822337556,0.8241325458814306,0.10793481364064411,0.9891373822337556,0.18962868745232891,-0.03871366982932258,-1.2918876307456293,-0.33660422155388964,-3.8846787725572054
02,AK,0.9784886808974893,0.0,0.990927491709852,0.851552518625917,0.0,56.733452003272994,0.10319978180043353,0.0,69.20141829718207,42230.599905255454,15058.443318356038,6106.3852083662305,3.150895048879574,2.917658374126125,0.009625184823645943,575.2845853490476,1.0,0.9806778541795266,0.0,0.9957652057822886,0.00820401659465124,2.44334758757588,-2.151240316453488,0.20557830370739308,1.586786898644144
04,AZ,0.5134324842814223,0.0,0.9557848141549006,0.0,0.0,31.084977408758533,0.1562948925634991,0.026145788571870353,82.40687068604377,78437.48381755123,24427.965032954566,4603.040513206842,4.445668648606858,2.3108718439235583,0.1539944155673701,175.0975450791008,0.9876516795549715,0.9422462508248095,0.02179564860146461,0.9743711220466424,0.5694269394036919,0.7607741520505722,-1.1313475116065943,-0.42741996129440313,-1.1101134227905562
05,AR,0.6247030932287262,0.12295539200690983,0.9457897720115883,0.07602162920842856,0.0,24.651175031040253,0.29954969139690135,0.0,57.77780127040109,45783.80355568352,16137.535797402474,5529.726204721717,4.311473197416011,3.4882406924225795,0.10526919547262159,121.01695067748727,0.9936142551238911,0.8383410109225703,0.0,0.9844888704946647,0.33238263185359795,0.45215397286132275,-1.3412938208119036,-0.5730465033720824,-3.0707823537275494
06,CA,0.4471493694380163,0.0802520894291885,0.8807128763223613,0.7353290598770224,0.26034373790663584,23.413033713332876,0.18151717151692048,0.02822876599087045,57.819740516939085,62627.76902774257,20828.196036417216,5441.95434907897,4.448312474239019,2.579948248004855,0.4404096843039196,252.07750085309488,0.982369743785387,0.739912169138193,0.06448883231765852,0.819942021247567,0.669683890972804,1.4654381779059469,-0.6353057333451682,1.1800475403047412,2.275726748288347
08,CO,0.5847617909780507,0.22266692745191932,0.8923547848473491,0.39200262840702926,0.15829986000456694,18.86807188808844,0.41043809031969636,0.012488787358210062,62.60787982553081,40521.71266924947,14311.134935071595,4711.0050910933805,5.974192858402279,2.5570979996936094,0.33099429516201606,219.41779146365081,0.9974024247247544,0.8541263003533126,0.10522781293989446,0.961316747134333,0.26041944674344414,0.9421059167237316,-0.7600888794791095,0.0264793785260232,-0.8773875000415396
09,CT,0.6239218042640476,0.03114885543744687,0.8366537945378593,0.5370143837721144,0.10591615566337785,18.200685165214068,0.1949073865664037,0.1858727570821174,129.96209735452635,69055.91076019935,32487.14505136771,13240.933241734403,4.12934369105847,3.2958025638566544,0.2639438819548151,219.17366935265522,0.9591562720801373,0.7488205985376792,0.3780517481760135,0.7610905491956061,0.8089849155352177,1.4675700132696499,0.660518278288969,-0.15972771930972057,3.061120610581284
10,DE,0.35920833505374566,0.0,0.5311532268054007,0.06695844860096067,0.0,23.251923421005547,0.292249886452785,0.0,57.54173720357295,16014.929875992679,9167.04347826087,5592.867858568342,4.540457216785719,3.2076881787026714,0.13823857302118173,224.80855251386652,1.0,0.5311532268054007,0.6967807644136147,1.0,0.38194530465061866,-0.15652903870834403,-1.0116943701207703,-0.23318693088804937,-2.068067935178433
12,FL,0.6114230219585747,0.10630740351893585,0.9189397010277144,0.7494274280882273,0.07279501856698414,17.57465722579096,0.27943712818403466,0.02275345000686306,78.30056502025177,28965.162505296492,11687.459743123129,5384.317840877113,4.0138160948139605,3.6784955348801764,0.22631062617263048,224.7085217614052,0.996728455618963,0.800782159168794,0.08598678161104223,0.9926354099862785,0.3989369833482454,1.2688066732793066,-0.8093162364057742,0.14098087574942417,-0.18716703012373836
13,GA,0.5379355057199915,0.1766750321364496,0.7185209392606278,0.3818172593983055,0.05936694323889291,20.77615900410279,0.10369646588001821,0.2783303146044762,76.44236490007887,50919.7900308813,19899.959673641886,7117.378540507739,4.298482553416346,2.9352507367828764,0.2153896532162475,130.7888692911269,0.9851338859506887,0.727679250889641,0.2202620067771506,0.9773842412470589,0.5780831719647609,0.9763440727944428,-0.44659309408390596,-0.014318358305723769,-0.7301807441267008
