item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
2a,2023-005187CUA,54 4Th Street,"Continued to March 20, 2025","Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,,0,continuance,2025-03-06
2b,2023-005187VAR,509 Minna Street,"Acting ZA Continued to March 20, 2025",,,,0,continuance,2025-03-06
10,2025-001027PCA,447 Bush Street,Adopted a Recommendation for Approval,"Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,21696,3,regular_calendar,2025-03-06
11,2024-011417PCA,,Adopted a Recommendation for Approval,"Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,21697,4,regular_calendar,2025-03-06
12,2025-001416CWP,,Reviewed and Commented,,,,2,regular_calendar,2025-03-06
13,2020-009915CUA,237 Sanchez Street,Approved with Conditions,"Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,21698,4,regular_calendar,2025-03-06
14,2024-002087CUA,788 Arkansas Street,"After hearing and closing public comment; Continued to April 10, 2025 with","McGarry, Williams, Braun, Imperial, Moore, So",Campbell,,4,regular_calendar,2025-03-06
