item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2022-009383CUA,4000 21St Street,"Continued to April 11, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-14
2,2022-000438DRP,320 Frederick Street,"Continued to April 11, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-14
3,2023-006927CUA,58 Buena Vista Terrace – West Side Between Roosevelt Way And Buena Vista Avenue,"Continued to May 2, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-14
4,2023-002390DRP,426 Fillmore Street,"Continued to May 2, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-14
5,2023-009433PCAMAP,900 Kearny Street,Continued Indefinitely,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-14
11,2019-004879CWP,,Reviewed and Commented,,,,4,regular_calendar,2024-03-14
