item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2020-007806CUA,1314 Page Street,"Continued to February 1, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2023-11-16
2,2022-001394CUA,1526 Powell Street,"Continued to January 4, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2023-11-16
3,2023-002996CUA,809 Vermont Street,"Continued to January 25, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2023-11-16
8,2023-004973CUA,1701 Fillmore Street,"Continued to January 18, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2023-11-16
4,2023-009168PCA,,"Initiated and Scheduled for Adoption on or after December 6, 2023","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21442,0,consent_calendar,2023-11-16
5,2022-006580CUA,1155 Pine Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21443,0,consent_calendar,2023-11-16
6,2022-005955CUA,201 Sansome Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21444,0,consent_calendar,2023-11-16
7,2019-019901CUA,1068 Florida Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21445,0,consent_calendar,2023-11-16
14,2023-005549PCA,,"Approved with Modifications (1, 3, 4, 5); including a Finding that encourages further","Braun, Diamond, Koppel, Moore, Tanner",Imperial,21446,5,regular_calendar,2023-11-16
15,2023-005567PCA,,Approved with Staff recommendations,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21447,4,regular_calendar,2023-11-16
16,2022-008784CUA,248 Valley Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21448,5,regular_calendar,2023-11-16
17,2022-006461CUA,56 Conrad Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21449,4,regular_calendar,2023-11-16
