item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
11,2023-009000PCA,,"Continued to February 29, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2023-12-07
13a,2019-014485CWP,,Reviewed and Commented,,,,10,regular_calendar,2023-12-07
13b,2021-012028GPA,,"Initiated and Scheduled a hearing on or after January 18, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21459,0,regular_calendar,2023-12-07
