item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
2a,2021-012028ENV,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
2b,2021-012028GPA,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
2c,2021-012028PCA,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
2d,2021-012028MAP,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
2e,2021-012028SHD,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
2g,2021-012028CWP,,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
3,2023-009969CUA,249 Texas Street,Continued Indefinitely,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
11a,2023-003652CUA,3901 Noriega Street,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
11b,2023-003652VAR,3901 Noriega Street,"ZA Continued to May 9, 2024",,,,0,continuance,2024-04-25
18,2023-007010CUA,1310 Junipero Serra Boulevard,"Continued to May 23, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-25
6,2023-011251CUA,2650 Ocean Avenue,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21546,0,consent_calendar,2024-04-25
8,2024-000596CUA,2999 California Street,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21547,0,consent_calendar,2024-04-25
10,2024-002074PCA,,Approved,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21549,0,consent_calendar,2024-04-25
17,2023-002450CWP,,Reviewed and Commented,,,,3,regular_calendar,2024-04-25
7,2023-008256CUA,261 Broad,After being pulled off of Consent; Approved with Conditions as amended to include:,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21550,4,regular_calendar,2024-04-25
19a,2023-008570DRP,1256 Howard Street,Took DR and Approved a three-unit configuration with three separate open space,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,,5,regular_calendar,2024-04-25
19b,2023-008570VAR,1256 Howard Street,ZA closed the PH; and took it under advisement.,,,,0,regular_calendar,2024-04-25
