item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
12,2023-004801DRP,178 27Th Avenue,Withdrawn,,,,0,continuance,2024-02-08
1,2023-006191CUA,157 Laidley Street,Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21505,0,consent_calendar,2024-02-08
7,2023-011362PCA,,"Approved with Staff Recommendations; including: a quarter-mile boundary, with a","Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21508,12,regular_calendar,2024-02-08
8,2024-000027PCA,,Approved as proposed; Recommending the Supervisor continue working with the,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21509,17,regular_calendar,2024-02-08
9,2023-010074CRV,,Adopted,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21510,3,regular_calendar,2024-02-08
10,2020-000805AHB,5425 Mission Street,Approved with Conditions as amended by Staff,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21511,3,regular_calendar,2024-02-08
11,2023-006894CUA,1571 Shrader Street,Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,21512,2,regular_calendar,2024-02-08
13,2023-002706DRP,72 Harper Street,No DR,"Braun, Ruiz, Imperial, Koppel, Moore, Diamond",,,8,regular_calendar,2024-02-08
