item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
2a,2022-005728DRP,1212 Union Street,"Continued to December 7, 2023","Braun, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-09-14
2b,2022-005728VAR,1212 Union Street,"Acting ZA Continued to December 7, 2023",,,,0,continuance,2023-09-14
14,2019-014485CWP,,Reviewed and Commented,,,,25,regular_calendar,2023-09-14
15,2022-004374CUA,100 Columbus Avenue,AYES:,NAYS:,MOTION:,,1,regular_calendar,2023-09-14
