item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
2a,2023-003652CUA,3901 Noriega Street,Continued Indefinitely,"Campbell, McGarry, So, Williams, Braun, Imperial, Moore",None,,0,continuance,2024-09-19
2b,2023-003652VAR,3901 Noriega Street,ZA Continued Indefinitely,,,,0,continuance,2024-09-19
12,2024-006177PCAMAP,758 And 772 Pacific Avenue,"Adopted a Recommendation for Approval, including the amendment to the title","Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,,6,regular_calendar,2024-09-19
13,2024-005931PCA,,Adopted a Recommendation for Approval with Staff Modifications and,"Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,,3,regular_calendar,2024-09-19
14,2022-010007CUA,345 Spear Street,Approved with Conditions,"Campbell, McGarry, Braun, Imperial, Moore, So",Williams,,4,regular_calendar,2024-09-19
16,2023-011105CUA,1830 Ocean Avenue,Approved with Conditions,"Campbell, McGarry, Williams, Braun, Imperial, Moore, So",None,,8,regular_calendar,2024-09-19
17,2024-001579CUA,200 Capp Street,Approved with Conditions,"Campbell, McGarry, Braun, So","Williams, Imperial, Moore",,23,regular_calendar,2024-09-19
