item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
10,2024-003574PCA,,Continued Indefinitely,"So, Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-06-13
12,2022-009810CUA,1090 Randolph Street,Approved with Conditions,"So, Williams, Braun, Imperial, Koppel, Moore, Diamond",,21574,13,regular_calendar,2024-06-13
13a,2023-001074SHD,700 Indiana Street,Adopted Findings,"So, Williams, Braun, Imperial, Koppel, Moore, Diamond",,21575,41,regular_calendar,2024-06-13
13b,2023-001074ENX,700 Indiana Street,Approved with Conditions,"So, Williams, Braun, Imperial, Koppel, Moore, Diamond",,21576,1,regular_calendar,2024-06-13
14,2022-012515CUA,45 Bronte Street,Approved with Conditions,"So, Williams, Braun, Imperial, Koppel, Moore, Diamond",,21577,6,regular_calendar,2024-06-13
