item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
4,2023-001109CUA,254 Jules Avenue,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21538,0,consent_calendar,2024-04-04
5,2023-011365CUA,680 Folsom Street,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21539,0,consent_calendar,2024-04-04
6,2022-008992CUA,410 Jessie Street,,,,,0,consent_calendar,2024-04-04
