item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2019-006995DRP,1128 Lake Street,"Continued to November 30, 2023","Braun, Ruiz, Diamond, Imperial, Koppel, Moore",,,0,continuance,2023-11-09
2,2022-008254CUA,2351 Mission Street,"Continued to January 4, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore",,,0,continuance,2023-11-09
3,2023-005698CUA,2450 San Bruno Avenue,"Continued to January 18, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore",,,0,continuance,2023-11-09
4,2022-006976CUA,1541 Polk Street,Continued Indefinitely,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore",,,0,continuance,2023-11-09
10,2023-008250PCAMAP,800 Chestnut Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore",,21436,6,regular_calendar,2023-11-09
11,2022-010182CWP,,Reviewed and Commented,,,,19,regular_calendar,2023-11-09
12,2022-007356CTZ,,AYES:,NAYS:,MOTION:,,18,regular_calendar,2023-11-09
13,2020-009670CUA,342 Moultrie Street,AYES:,NAYS:,MOTION:,,0,regular_calendar,2023-11-09
14,2022-011558CUA,170 Sea Cliff Avenue,AYES:,NAYS:,MOTION:,,0,regular_calendar,2023-11-09
15,2023-005418CUA,1152 Taylor Street,AYES:,RECUSED:,,,0,regular_calendar,2023-11-09
16,2022-004172CUA,2395 Sacramento Street,AYES:,NAYS:,MOTION:,,29,regular_calendar,2023-11-09
17,2022-002822DRP,3160 Jackson Street,AYES:,NAYS:,DRA:,,3,regular_calendar,2023-11-09
