item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
2,2022-000438DRP,322 Frederick Street,"Continued to June 20, 2024","So, Williams, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-06-06
3a,2023-003652CUA,3901 Noriega Street,"Continued to July 18, 2024","So, Williams, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-06-06
3b,2023-003652VAR,3901 Noriega Street,"ZA Continued to July 18, 2024",,,,0,continuance,2024-06-06
11a,2023-006982CUA,305 Liberty Street,"Continued to June 20, 2024","So, Williams, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-06-06
11b,2023-006982VAR,305 Liberty Street,"Acting ZA Continued to June 20, 2024",,,,0,continuance,2024-06-06
4a,2019-000494DNX,555 Howard Street,Approved with Conditions,"So, Williams, Imperial, Koppel, Moore, Diamond",,21570,0,consent_calendar,2024-06-06
4b,2019-000494CUA,555 Howard Street,Approved with Conditions,"So, Williams, Imperial, Koppel, Moore, Diamond",,21571,0,consent_calendar,2024-06-06
4c,2019-000494VAR,555 Howard Street,Acting ZA closed the PH and indicated an intent to Grant,,,,0,consent_calendar,2024-06-06
10,2021-005878CWP,13 Agenda. On Day Street,Reviewed and Commented,,,,44,regular_calendar,2024-06-06
