item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2024-001873PCAMAP,135 Kissling Street,"Continued to May 23, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-05-02
2a,2022-009794DRP,1153 Guerrero Street,"Continued to June 20, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-05-02
2b,2022-009794VAR,1153 Guerrero Street,"ZA Continued to June 20, 2024",,,,0,continuance,2024-05-02
3,2023-006927CUA,58 Buena Vista Terrace – West Side Between Roosevelt Way And Buena Vista Avenue,"Continued to June 20, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-05-02
4,2023-000072CUA,14 Portola Drive,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21551,0,consent_calendar,2024-05-02
5,2017-005154CUA,1300 Columbus Avenue,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21552,0,consent_calendar,2024-05-02
6,2024-002495PCA,900 Kearny Street,Approved with Modifications,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21553,0,consent_calendar,2024-05-02
11,2024-002677PCA,,Approved,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21554,6,regular_calendar,2024-05-02
12,2023-002390DRP,426 Fillmore Street,No DR,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,,4,regular_calendar,2024-05-02
13,2023-004324DRP,2330 Lane Street,"No DR and Approve as proposed adding a Finding to the DRA memo, encouraging","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,28,regular_calendar,2024-05-02
