item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2023-007496DRP,638 Rhode Island Street,"Continued to March 21, 2024","Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-07
2,2023-004973CUA,1701 Fillmore Street,Continued Indefinitely,"Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-07
3,2023-002996CUA,809 Vermont Street,Continued Indefinitely,"Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-03-07
4,2019-004110CUA,2675 Geary Boulevard,Rescinded,"Braun, Imperial, Koppel, Moore, Diamond",,,0,consent_calendar,2024-03-07
5a,2019-004110ENV,2675 Geary Boulevard,Adopted Findings,"Braun, Imperial, Koppel, Moore, Diamond",,,0,consent_calendar,2024-03-07
5b,2019-004110CUA,2675 Geary Boulevard,Approved with Conditions,"Braun, Imperial, Koppel, Moore, Diamond",,,0,consent_calendar,2024-03-07
6,2023-011780CUA,3233 22Nd Street,Approved with Conditions,"Braun, Imperial, Koppel, Moore, Diamond",,,0,consent_calendar,2024-03-07
12,2023-007971CUA,67 Noe Street,Approved with Conditions,"Braun, Imperial, Koppel, Moore, Diamond",,,1,regular_calendar,2024-03-07
13a,2023-004909DRP,1336 Shotwell Street,"After hearing and closing PC; Continued to March 14, 2024 with direction from CPC.","Braun, Imperial, Koppel, Moore",Diamond,,21,regular_calendar,2024-03-07
13b,2023-004909VAR,1336 Shotwell Street,"After hearing closing PC; ZA Continued to March 14, 2024.",,,,0,regular_calendar,2024-03-07
