cbsa23,cbsatype23,CBSAName23,pop20,afact
26740,Micro,"Hutchinson, KS",61898,1
26780,Micro,"Hutchinson, MN",36771,1
26820,Metro,"Idaho Falls, ID",157429,1
26860,Micro,"Indiana, PA",83246,1
26900,Metro,"Indianapolis-Carmel-Greenwood, IN",2089673,1
26980,Metro,"Iowa City, IA",175419,1
27020,Micro,"Iron Mountain, MI-WI",30505,1
27060,Metro,"Ithaca, NY",105740,1
27100,Metro,"Jackson, MI",160366,1
27140,Metro,"Jackson, MS",619968,1
27180,Metro,"Jackson, TN",180504,1
27220,Micro,"Jackson, WY-ID",34961,1
27260,Metro,"Jacksonville, FL",1605848,1
27300,Micro,"Jacksonville, IL",37864,1
27340,Metro,"Jacksonville, NC",204576,1
27380,Micro,"Jacksonville, TX",50412,1
27420,Micro,"Jamestown, ND",21593,1
27460,Micro,"Jamestown-Dunkirk, NY",127657,1
27500,Metro,"Janesville-Beloit, WI",163687,1
27540,Micro,"Jasper, IN",43637,1
27600,Micro,"Jefferson, GA",75907,1
27620,Metro,"Jefferson City, MO",150309,1
27700,Micro,"Jesup, GA",30144,1
27740,Metro,"Johnson City, TN",207285,1
27780,Metro,"Johnstown, PA",133472,1
27860,Metro,"Jonesboro, AR",134196,1
27900,Metro,"Joplin, MO-KS",200771,1
27940,Micro,"Juneau, AK",32255,1
27980,Metro,"Kahului-Wailuku, HI",164836,1
28020,Metro,"Kalamazoo-Portage, MI",261670,1
28060,Micro,"Kalispell, MT",104357,1
28100,Metro,"Kankakee, IL",107502,1
28140,Metro,"Kansas City, MO-KS",2192035,1
28180,Micro,"Kapaa, HI",73298,1
28260,Micro,"Kearney, NE",56772,1
28300,Micro,"Keene, NH",76458,1
28340,Micro,"Kendallville, IN",47457,1
28380,Micro,"Kennett, MO",28283,1
28420,Metro,"Kennewick-Richland, WA",303622,1
28450,Metro,"Kenosha, WI",169151,1
28500,Micro,"Kerrville, TX",52598,1
28540,Micro,"Ketchikan, AK",13948,1
28580,Micro,"Key West-Key Largo, FL",82874,1
28620,Micro,"Kill Devil Hills, NC",36915,1
28660,Metro,"Killeen-Temple, TX",475367,1
28680,Micro,"Kingsland, GA",54768,1
28700,Metro,"Kingsport-Bristol, TN-VA",307614,1
28740,Metro,"Kingston, NY",181851,1
28780,Micro,"Kingsville, TX",31040,1
28820,Micro,"Kinston, NC",55122,1
28860,Micro,"Kirksville, MO",29346,1
28880,Metro,"Kiryas Joel-Poughkeepsie-Newburgh, NY",697221,1
28900,Micro,"Klamath Falls, OR",69413,1
28940,Metro,"Knoxville, TN",903300,1
29020,Metro,"Kokomo, IN",83658,1
29060,Micro,"Laconia, NH",63705,1
29100,Metro,"La Crosse-Onalaska, WI-MN",170341,1
29180,Metro,"Lafayette, LA",408455,1
29200,Metro,"Lafayette-West Lafayette, IN",223716,1
29260,Micro,"La Grande, OR",26196,1
