cbsa23,cbsatype23,CBSAName23,pop20,afact
45140,Micro,"Tahlequah, OK",47078,1
45180,Micro,"Talladega-Sylacauga, AL",92536,1
45220,Metro,"Tallahassee, FL",384298,1
45300,Metro,"Tampa-St. Petersburg-Clearwater, FL",3175275,1
45340,Micro,"Taos, NM",34489,1
45380,Micro,"Taylorville, IL",34032,1
45460,Metro,"Terre Haute, IN",168875,1
45500,Metro,"Texarkana, TX-AR",147519,1
45520,Micro,"The Dalles, OR",26670,1
45580,Micro,"Thomaston, GA",27700,1
45620,Micro,"Thomasville, GA",72034,1
45660,Micro,"Tiffin, OH",55069,1
45700,Micro,"Tifton, GA",50350,1
45740,Micro,"Toccoa, GA",26784,1
45780,Metro,"Toledo, OH",606240,1
45820,Metro,"Topeka, KS",233152,1
45880,Micro,"Town of Pecos, TX",14748,1
45900,Metro,"Traverse City, MI",153448,1
45940,Metro,"Trenton-Princeton, NJ",387340,1
45980,Micro,"Troy, AL",33009,1
46020,Micro,"Truckee-Grass Valley, CA",102241,1
46060,Metro,"Tucson, AZ",1043433,1
46100,Micro,"Tullahoma-Manchester, TN",64350,1
46140,Metro,"Tulsa, OK",1015331,1
46180,Micro,"Tupelo, MS",132214,1
46220,Metro,"Tuscaloosa, AL",268674,1
46300,Metro,"Twin Falls, ID",114283,1
46340,Metro,"Tyler, TX",233479,1
46380,Micro,"Ukiah, CA",91601,1
46460,Micro,"Union City, TN",30787,1
46500,Micro,"Urbana, OH",38714,1
46520,Metro,"Urban Honolulu, HI",1016508,1
46540,Metro,"Utica-Rome, NY",292264,1
46580,Micro,"Utuado, PR",28287,1
46620,Micro,"Uvalde, TX",24564,1
46660,Metro,"Valdosta, GA",148126,1
46700,Metro,"Vallejo, CA",453491,1
46780,Micro,"Van Wert, OH",28931,1
46820,Micro,"Vermillion, SD",14967,1
46860,Micro,"Vernal, UT",35620,1
46900,Micro,"Vernon, TX",12887,1
46980,Micro,"Vicksburg, MS",44722,1
47020,Metro,"Victoria, TX",98331,1
47080,Micro,"Vidalia, GA",35640,1
47180,Micro,"Vincennes, IN",36282,1
47220,Metro,"Vineland, NJ",154152,1
47240,Micro,"Vineyard Haven, MA",20600,1
47260,Metro,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1780059,1
47300,Metro,"Visalia, CA",473117,1
47340,Micro,"Wabash, IN",30976,1
47380,Metro,"Waco, TX",295782,1
47420,Micro,"Wahpeton, ND-MN",23035,1
47460,Metro,"Walla Walla, WA",62584,1
47540,Micro,"Wapakoneta, OH",46422,1
47580,Metro,"Warner Robins, GA",191614,1
47620,Micro,"Warren, PA",38587,1
47660,Micro,"Warrensburg, MO",54013,1
47700,Micro,"Warsaw, IN",80240,1
47780,Micro,"Washington, IN",33381,1
47820,Micro,"Washington, NC",44652,1
47900,Metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6278542,1
47920,Micro,"Washington Court House, OH",28951,1
47940,Metro,"Waterloo-Cedar Falls, IA",168461,1
47980,Micro,"Watertown, SD",28325,1
48020,Micro,"Watertown-Fort Atkinson, WI",84900,1
48060,Metro,"Watertown-Fort Drum, NY",116721,1
48140,Metro,"Wausau, WI",138013,1
48180,Micro,"Waycross, GA",55967,1
48200,Micro,"Waynesville, NC",62089,1
48220,Micro,"Weatherford, OK",39437,1
48260,Metro,"Weirton-Steubenville, WV-OH",116903,1
48300,Metro,"Wenatchee-East Wenatchee, WA",122012,1
48460,Micro,"West Plains, MO",39750,1
48540,Metro,"Wheeling, WV-OH",139513,1
48580,Micro,"Whitewater-Elkhorn, WI",106478,1
48620,Metro,"Wichita, KS",647610,1
48660,Metro,"Wichita Falls, TX",148128,1
48680,Metro,"Wildwood-The Villages, FL",129752,1
48700,Metro,"Williamsport, PA",114188,1
48780,Micro,"Williston, ND",40950,1
48820,Micro,"Willmar, MN",43732,1
48900,Metro,"Wilmington, NC",422598,1
48940,Micro,"Wilmington, OH",42018,1
48980,Micro,"Wilson, NC",78784,1
49010,Micro,"Winchester, TN",42774,1
49020,Metro,"Winchester, VA-WV",142632,1
49080,Micro,"Winnemucca, NV",17285,1
49100,Micro,"Winona, MN",49671,1
49180,Metro,"Winston-Salem, NC",675966,1
49220,Micro,"Wisconsin Rapids-Marshfield, WI",74207,1
49260,Micro,"Woodward, OK",20470,1
49300,Micro,"Wooster, OH",116894,1
49340,Metro,"Worcester, MA",862111,1
49380,Micro,"Worthington, MN",22290,1
49420,Metro,"Yakima, WA",256728,1
49460,Micro,"Yankton, SD",23310,1
49620,Metro,"York-Hanover, PA",456438,1
49660,Metro,"Youngstown-Warren, OH",430591,1
49700,Metro,"Yuba City, CA",181208,1
49740,Metro,"Yuma, AZ",203881,1
49780,Micro,"Zanesville, OH",86410,1
49820,Micro,"Zapata, TX",13889,1
99999, ,[not in any CBSA],21541361,1
