county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
andrews,5794.0,779.0,4888.0,0.13444943044528823,0.843631342768381,texas,5972.0,873.0,4976.0
androscoggin,59361.0,22181.0,32979.0,0.3736628426070989,0.5555667862738162,maine,58214.0,5354.0,22073.0
angelina,34355.0,8771.0,24962.0,0.25530490467180905,0.7265900160093145,texas,34066.0,8382.0,24994.0
anne arundel,,,,,,maryland,310387.0,137645.0,164698.0
anoka,206804.0,,98043.0,,0.47408657472776156,minnesota,206111.0,106871.0,91380.0
anson,11108.0,5756.0,4981.0,0.5181850918257112,0.4484155563557796,north carolina,,,
antelope,3366.0,354.0,2828.0,0.1051693404634581,0.8401663695781343,nebraska,3409.0,nan,2580.0
antelope,3366.0,354.0,2828.0,0.1051693404634581,0.8401663695781343,nebraska,3408.0,342.0,3066.0
antrim,15877.0,5758.0,9924.0,0.36266297159412986,0.6250551111670971,michigan,16732.0,6178.0,10136.0
apache,35102.0,24050.0,11052.0,0.6851461455187738,0.31485385448122616,arizona,31936.0,19901.0,11283.0
appanoose,6386.0,1956.0,4189.0,0.306295020357031,0.6559661760100219,iowa,,,
appling,16346.0,3414.0,12702.0,0.20885843631469472,0.777070843019699,georgia,,,
appomattox,9065.0,2741.0,6306.0,0.30237175951461664,0.6956425813568671,virginia,9495.0,2562.0,6923.0
aransas,12164.0,2729.0,9189.0,0.2243505425846761,0.7554258467609339,texas,12956.0,3069.0,9605.0
arapahoe,348655.0,204054.0,136713.0,0.5852605010683913,0.3921154149517431,colorado,,,
archer,4724.0,467.0,4178.0,0.09885690093141405,0.884419983065199,texas,5109.0,562.0,4483.0
archuleta,9020.0,3591.0,5225.0,0.39811529933481155,0.5792682926829268,colorado,,,
arenac,8712.0,3085.0,5443.0,0.35410927456382,0.6247704315886135,michigan,8938.0,2786.0,5911.0
arkansas,6068.0,,4567.0,,0.752636783124588,arkansas,,,
arlington,129634.0,102880.0,26590.0,0.7936189579894164,0.20511594180539056,virginia,128359.0,100725.0,27269.0
armstrong,,,,,,pennsylvania,36944.0,9136.0,26653.0
armstrong,1106.0,64.0,1025.0,0.05786618444846293,0.9267631103074141,texas,1112.0,97.0,1001.0
aroostook,36210.0,9750.0,24033.0,0.26926263463131733,0.663711681855841,maine,35035.0,2492.0,14996.0
arthur,270.0,21.0,228.0,0.07777777777777778,0.8444444444444444,nebraska,280.0,nan,234.0
arthur,270.0,21.0,228.0,0.07777777777777778,0.8444444444444444,nebraska,285.0,18.0,267.0
ascension,60627.0,17119.0,41589.0,0.28236594256684316,0.6859814933940324,louisiana,,,
ashe,15636.0,4279.0,10619.0,0.27366334100793044,0.679137886927603,north carolina,,,
ashland,,,,,,ohio,25698.0,7191.0,17514.0
ashland,,,,,,wisconsin,8839.0,4775.0,3844.0
ashley,7750.0,,5801.0,,0.7485161290322581,arkansas,,,
ashtabula,,,,,,ohio,42034.0,16584.0,23716.0
asotin,,,,,,washington,11049.0,4386.0,6627.0
assumption,10602.0,3172.0,7039.0,0.29918883229579324,0.6639313337106206,louisiana,,,
atascosa,17894.0,5588.0,11906.0,0.3122834469654633,0.6653626914049402,texas,18158.0,5739.0,11973.0
atchison,7419.0,2434.0,4454.0,0.3280765601833131,0.6003504515433347,kansas,,,
atchison,,,,,,missouri,2623.0,479.0,2052.0
athens,,,,,,ohio,24436.0,13966.0,9593.0
atkinson,6092.0,1525.0,4448.0,0.25032829940906104,0.7301378857518056,georgia,,,
atlantic,135678.0,71420.0,61568.0,0.526393372543817,0.4537802738837542,new jersey,118574.0,56640.0,59479.0
atoka,5346.0,798.0,4380.0,0.14927048260381592,0.819304152637486,oklahoma,,,
attala,8820.0,3824.0,4888.0,0.4335600907029478,0.5541950113378685,mississippi,7647.0,2894.0,4753.0
audrain,,,,,,missouri,10369.0,2889.0,7168.0
audubon,3372.0,1092.0,2188.0,0.3238434163701068,0.6488730723606169,iowa,,,
auglaize,,,,,,ohio,25145.0,5190.0,19113.0
augusta,42044.0,12224.0,29794.0,0.29074303111026545,0.7086385691180668,virginia,44183.0,12517.0,31605.0
aurora,1405.0,403.0,1002.0,0.2868327402135231,0.7131672597864769,south dakota,,,
austin,14478.0,2752.0,11454.0,0.1900815029700235,0.7911313717364277,texas,15289.0,2998.0,11981.0
autauga,27855.0,8277.0,19387.0,0.29714593430263864,0.6959971279842039,alabama,,,
avery,9321.0,2079.0,6865.0,0.22304473768908914,0.7365089582662805,north carolina,,,
avoyelles,16313.0,3933.0,11731.0,0.2410960583583645,0.7191197204683382,louisiana,,,
baca,2196.0,329.0,1816.0,0.14981785063752276,0.8269581056466302,colorado,,,
bacon,9102.0,1168.0,7809.0,0.12832344539661614,0.8579433091628214,georgia,,,
bailey,1822.0,383.0,1400.0,0.21020856201975852,0.7683863885839737,texas,1713.0,325.0,1352.0
baker,,,,,,florida,14797.0,2161.0,12415.0
baker,3048.0,1293.0,1723.0,0.4242125984251969,0.5652887139107612,georgia,,,
baker,10048.0,2633.0,6863.0,0.2620421974522293,0.6830214968152867,oregon,,,
baldwin,110013.0,28925.0,80200.0,0.26292347268050137,0.7290047539836201,alabama,,,
baldwin,36024.0,17617.0,17592.0,0.48903508771929827,0.4883411059293804,georgia,,,
ballard,4227.0,936.0,3155.0,0.22143364088005676,0.7463922403595931,kentucky,,,
baltimore,,,,,,maryland,411123.0,212585.0,188177.0
bamberg,6479.0,4060.0,2373.0,0.6266399135669085,0.3662602253434172,south carolina,,,
bandera,12537.0,2291.0,9957.0,0.18273909228683097,0.7942091409428093,texas,13530.0,2735.0,10472.0
banks,17404.0,1798.0,15269.0,0.10330958400367732,0.8773270512525856,georgia,,,
banner,395.0,39.0,335.0,0.09873417721518987,0.8481012658227848,nebraska,384.0,nan,310.0
banner,395.0,39.0,335.0,0.09873417721518987,0.8481012658227848,nebraska,382.0,25.0,357.0
bannock,39413.0,15472.0,22048.0,0.3925608301829346,0.5594093319463121,idaho,,,
baraga,4000.0,1528.0,2409.0,0.382,0.60225,michigan,4246.0,1468.0,2698.0
barber,2322.0,328.0,1879.0,0.14125753660637383,0.8092161929371232,kansas,,,
barbour,10560.0,5021.0,5449.0,0.47547348484848484,0.5160037878787879,alabama,,,
barbour,6618.0,1331.0,5096.0,0.20111816258688425,0.7700211544273194,west virginia,6305.0,1069.0,4963.0
barnes,,,,,,north dakota,5320.0,1901.0,3403.0
barnstable,151512.0,89977.0,58621.0,0.5938605522994879,0.3869066476582713,massachusetts,147287.0,81395.0,65709.0
barnwell,10320.0,4806.0,5378.0,0.46569767441860466,0.521124031007752,south carolina,,,
barren,20022.0,5600.0,13341.0,0.2796923384277295,0.666317051243632,kentucky,,,
barron,,,,,,wisconsin,26541.0,9352.0,16462.0
barrow,74766.0,20118.0,52379.0,0.2690795281277586,0.7005724527191504,georgia,,,
