cbsa23,cbsaname23,metro_micro_code,new_permits_total
44940,"sumter, sc",2,386
44980,"sunbury, pa",5,108
45000,"susanville, ca",5,6
45020,"sweetwater, tx",5,15
45060,"syracuse, ny",2,925
45140,"tahlequah, ok",5,48
45180,"talladega-sylacauga, al",5,189
45220,"tallahassee, fl",2,2404
45300,"tampa-st. petersburg-clearwater, fl",4,20999
45340,"taos, nm",5,127
45380,"taylorville, il",5,26
45460,"terre haute, in",4,162
45500,"texarkana, tx-ar",4,162
45520,"the dalles, or",5,48
45580,"thomaston, ga",5,111
45620,"thomasville, ga",5,268
45660,"tiffin, oh",5,45
45700,"tifton, ga",5,185
45740,"toccoa, ga",5,52
45780,"toledo, oh",4,932
45820,"topeka, ks",4,387
45860,"torrington, ct",5,154
45880,"town of pecos, tx",5,22
45900,"traverse city, mi",4,1232
45940,"trenton-princeton, nj",2,2256
45980,"troy, al",5,42
46020,"truckee-grass valley, ca",5,215
46060,"tucson, az",2,5268
46100,"tullahoma-manchester, tn",5,420
46140,"tulsa, ok",2,4304
46180,"tupelo, ms",5,169
46220,"tuscaloosa, al",4,639
46300,"twin falls, id",4,735
46340,"tyler, tx",2,595
46380,"ukiah, ca",5,8
46460,"union city, tn",5,21
46520,"urban honolulu, hi",4,1638
46500,"urbana, oh",5,42
46540,"utica-rome, ny",4,258
46620,"uvalde, tx",5,17
46660,"valdosta, ga",4,983
46700,"vallejo, ca",2,1472
46780,"van wert, oh",5,44
46820,"vermillion, sd",5,28
46860,"vernal, ut",5,85
46900,"vernon, tx",5,19
46980,"vicksburg, ms",5,12
47020,"victoria, tx",2,53
47080,"vidalia, ga",5,56
47180,"vincennes, in",5,36
47220,"vineland, nj",2,216
47240,"vineyard haven, ma",5,97
47260,"virginia beach-chesapeake-norfolk, va-nc",2,4912
47300,"visalia, ca",4,1447
47340,"wabash, in",5,42
47380,"waco, tx",4,1033
47420,"wahpeton, nd-mn",5,53
47460,"walla walla, wa",2,206
47540,"wapakoneta, oh",5,121
47580,"warner robins, ga",2,1694
47620,"warren, pa",5,53
47660,"warrensburg, mo",5,80
47700,"warsaw, in",5,261
47920,"washington court house, oh",5,71
47780,"washington, in",5,71
47820,"washington, nc",5,216
47900,"washington-arlington-alexandria, dc-va-md-wv",2,21931
47930,"waterbury-shelton, ct",2,502
47940,"waterloo-cedar falls, ia",4,335
47980,"watertown, sd",5,160
48020,"watertown-fort atkinson, wi",5,145
48060,"watertown-fort drum, ny",4,196
48140,"wausau, wi",2,298
48180,"waycross, ga",5,133
48200,"waynesville, nc",5,537
48220,"weatherford, ok",5,29
48260,"weirton-steubenville, wv-oh",2,19
48300,"wenatchee-east wenatchee, wa",4,1025
48460,"west plains, mo",5,53
48540,"wheeling, wv-oh",4,12
48580,"whitewater-elkhorn, wi",5,474
48660,"wichita falls, tx",4,269
48620,"wichita, ks",2,3010
48680,"wildwood-the villages, fl",2,3961
48700,"williamsport, pa",2,73
48780,"williston, nd",5,90
48820,"willmar, mn",5,196
48900,"wilmington, nc",4,9636
48940,"wilmington, oh",5,119
48980,"wilson, nc",5,580
49010,"winchester, tn",5,422
49020,"winchester, va-wv",2,1087
49080,"winnemucca, nv",5,37
49100,"winona, mn",5,37
49180,"winston-salem, nc",2,5536
49220,"wisconsin rapids-marshfield, wi",5,122
49260,"woodward, ok",5,2
49300,"wooster, oh",5,284
49340,"worcester, ma",2,2293
49380,"worthington, mn",5,19
49420,"yakima, wa",4,468
49460,"yankton, sd",5,179
49620,"york-hanover, pa",2,1328
49660,"youngstown-warren, oh",2,276
49700,"yuba city, ca",2,823
49740,"yuma, az",4,1399
49780,"zanesville, oh",5,140
