cbsa23,cbsaname23,metro_micro_code,new_permits_total
18260,"cookeville, tn",5,926
18300,"coos bay-north bend, or",5,122
18340,"corbin, ky",5,81
18380,"cordele, ga",5,21
18420,"corinth, ms",5,13
18460,"cornelia, ga",5,215
18500,"corning, ny",5,196
18580,"corpus christi, tx",2,1945
18620,"corsicana, tx",5,522
18660,"cortland, ny",5,45
18700,"corvallis, or",2,116
18740,"coshocton, oh",5,7
18820,"crawfordsville, in",5,52
18860,"crescent city, ca",5,55
18880,"crestview-fort walton beach-destin, fl",4,4151
18900,"crossville, tn",5,114
18980,"cullman, al",5,180
19060,"cumberland, md-wv",5,88
19100,"dallas-fort worth-arlington, tx",2,72151
19140,"dalton, ga",2,499
19180,"danville, il",5,8
19220,"danville, ky",5,176
19260,"danville, va",5,126
19300,"daphne-fairhope-foley, al",2,3883
19340,"davenport-moline-rock island, ia-il",2,968
19430,"dayton-kettering-beavercreek, oh",2,2030
19460,"decatur, al",2,236
19500,"decatur, il",4,63
19540,"decatur, in",5,78
19580,"defiance, oh",5,41
19620,"del rio, tx",5,85
19660,"deltona-daytona beach-ormond beach, fl",2,5990
19700,"deming, nm",5,7
19740,"denver-aurora-centennial, co",2,15897
19760,"deridder, la",5,83
19780,"des moines-west des moines, ia",2,5057
19810,"detroit lakes, mn",5,156
19820,"detroit-warren-dearborn, mi",2,7446
19860,"dickinson, nd",5,48
19940,"dixon, il",5,43
19980,"dodge city, ks",5,134
20020,"dothan, al",2,573
20060,"douglas, ga",5,128
20100,"dover, de",2,1201
20140,"dublin, ga",5,55
20180,"dubois, pa",5,99
20220,"dubuque, ia",4,473
20260,"duluth, mn-wi",2,875
20300,"dumas, tx",5,27
20340,"duncan, ok",5,17
20420,"durango, co",5,306
20460,"durant, ok",5,176
20500,"durham-chapel hill, nc",2,3851
20540,"dyersburg, tn",5,74
20580,"eagle pass, tx",4,66
20700,"east stroudsburg, pa",5,278
20660,"easton, md",5,158
20740,"eau claire, wi",2,951
20780,"edwards, co",5,387
20820,"effingham, il",5,27
20900,"el campo, tx",5,191
20940,"el centro, ca",4,271
20980,"el dorado, ar",5,20
21340,"el paso, tx",2,2196
21020,"elizabeth city, nc",5,153
21060,"elizabethtown, ky",2,1011
21120,"elk city, ok",5,16
21140,"elkhart-goshen, in",2,484
21180,"elkins, wv",5,3
21220,"elko, nv",5,120
21260,"ellensburg, wa",5,433
21300,"elmira, ny",2,91
21380,"emporia, ks",5,34
21420,"enid, ok",4,19
21460,"enterprise, al",5,137
21500,"erie, pa",2,364
21540,"escanaba, mi",5,38
21640,"eufaula, al-ga",5,46
21660,"eugene-springfield, or",4,1808
21700,"eureka-arcata, ca",5,188
21740,"evanston, wy-ut",5,147
21780,"evansville, in",2,801
21820,"fairbanks-college, ak",4,1
