,Unnamed: 0,cbsa,cbsa_name,accessory apartments banned,no flexible zoning by right,no flexible zoning by permit,affordable incentive,affordable mandate,zoning district count,permit cap or phasing,wetlands restricted in lot size calc,longest frontage requirement,highest res min lot size,mean res min lot size,lowest res min lot size,mandatory approval steps,distinct approval bodies,public hearing requirements,max review waiting time,multifamily not allowed,no mixed-use buildings,no conversion to multifamily,townhouses not allowed,age-restricted provisions,first_pc,second_pc,third_pc,overall_index,local_political_pressure_2018,state_involvement_2018,court_involvement_2018,local_project_2018,local_zoning_2018,local_assembly_2018,supply_restrictions_2018,density_restriction_2018,open_space_2018,exactions_2018,affordable_housing_2018,approval_delay_2018,wrluri18,z_score,overall_index_z,wrluri18_z,first_pc_z,second_pc_z,affordability_index_2010,affordability_index_2023
0,0.0,10100,"Aberdeen, SD",0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,75.0,9000.0,6300.0,3000.0,3.0,5.0,0.0,140.0,1.0,0.0,0.0,1.0,0.0,-1.771919236420892,-0.7789383357251088,-0.0006798283394698,-2.163103205256747,8.0,2.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.2488603442907333,0.029579944565696806,-0.187721312339495,-0.2096310911338305,-1.6014110184287753,-0.35194934348864954,,
1,4.0,10300,"Adrian, MI",0.0,0.0,0.8862149532710281,0.0,0.0,13.217172897196262,0.0,0.0,79.51635514018692,33056.004672897194,13072.21261682243,7072.301401869159,3.173481308411215,4.922079439252337,0.5889018691588785,153.3282710280374,1.0,1.0,0.2973130841121495,1.0,0.8862149532710281,-0.0736602750633823,-0.9984715106197078,-0.4188569848604782,-1.8891352228665603,7.163469640644362,2.0,4.0,3.1788351920693927,3.1453779429987607,0.5726889714993804,0.0,1.769615861214374,0.4273110285006196,0.3757620817843866,0.4273110285006196,6.536455890461711,0.15264338629470292,0.10462466121634714,-0.11048143810718664,0.32391191714182826,-0.01219802786020745,-0.5988089366719103,2.5729141255447994,1.4813644883339807
2,5.0,10420,"Akron, OH",0.1929731119600352,0.1410336467822509,1.0,0.0769449750220393,0.0,13.002415148398471,0.3536769027328827,0.0,76.36106927710843,61173.58149059653,27660.25857786547,15162.08602703497,4.399573905377608,3.966950117543344,0.3092216426682339,209.53028577725536,1.0,0.7921962239200705,0.0,0.9950778724654716,0.5585053629150749,0.3197015545222761,-0.334380929136046,-0.7679785112185031,0.1249840678126313,8.015250986611589,1.989765057352562,3.5321063696381816,2.5676704901707676,2.821460185151035,0.8455906760594549,0.09290746136539643,3.41451517722126,0.8062276398775495,0.49335189761369097,0.025264633201785108,4.642609172721573,0.1802913303968347,0.6563278571553582,0.4573598086826032,0.36065221653426366,0.35590586194446816,0.1479443996318186,2.137844074641238,1.4904951656699783
3,10.0,10660,"Albert Lea, MN",0.0,0.0,0.9752047315741584,0.0,0.0,21.603275705186533,0.0,0.0,60.371929026387626,19752.047315741584,19752.047315741584,19752.047315741584,5.049590536851683,2.9504094631483166,0.0,182.0084167424932,1.0,1.0,0.0,1.0,0.0,-0.7077466613083079,-1.0292558937054506,-0.699617149448385,-3.449910073484503,7.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.75,-0.723443865776062,-0.32289940710076864,-0.5505111529480469,-0.8402870488309835,-0.6055694424044339,-0.6334252095363313,,
4,15.0,10900,"Allentown-Bethlehem-Easton, PA-NJ",0.3691841592728846,0.3890735968208377,0.8531407999055695,0.6047884165174795,0.2918494619425154,10.709901438098798,0.4549782612972399,0.086384293049517,124.35718360842792,102570.65570222896,52646.43021319011,14077.921937400406,4.941649780645669,3.2091440262831736,0.4894650902008616,215.50606913104207,0.804095925714623,0.4832484114024906,0.2304695953256871,0.9396037850917748,0.7699828844602703,1.4704290717125128,1.1033744055488504,0.1937520518364165,4.433760903709769,8.041507367582637,1.7418458781362007,2.754888490641179,2.3697729988052565,3.4646654719235364,0.41133014735165274,0.030605336519315025,2.220061728395062,0.9376543209876544,0.77794703305456,0.3088809239346874,7.659339531063322,0.237397415070913,1.8365786804076463,1.67213453526284,0.4365383164303362,1.4327446483340422,1.7646645021301326,1.6949436488130198,1.2046703347519454
5,16.0,10940,"Alma, MI",0.0,0.0,0.6808146174343357,0.0,0.0,10.893033878949373,0.0,0.3191853825656642,40.848877046060146,8169.7754092120285,5021.007803578226,2723.258469737343,3.319185382565664,3.0,0.0,120.36676817662732,1.0,0.6808146174343357,0.0,1.0,0.6808146174343357,-0.24134683573445,-0.5051699576201825,0.0517837795189454,-0.8188430174889341,5.554424157303371,2.0,2.5108848314606744,3.0217696629213484,2.0,0.0,0.0,2.4891151685393256,0.5108848314606742,0.0,0.0,2.0774666432584272,-1.152266330797267,0.39779678514567446,0.19126635962433725,-1.4101328823179817,-0.16911735914358583,-0.04410361366731172,,
6,17.0,11020,"Altoona, PA",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,43560.0,20385.0,7200.0,3.0,4.0,0.0,165.0,1.0,0.0,0.0,1.0,0.0,-0.8900615704031469,-0.7549821782009508,-0.0698794400656248,-1.9163439090268457,8.058893943021308,2.5967201340675126,3.849054345223845,1.9834211156332295,3.025736174287766,0.7310869044768973,0.0,1.478752693320565,0.0,0.0,0.2689130955231028,2.8467201340675126,-0.47743082176363294,0.09717171680466385,-0.11815239103647342,-0.5133696889697086,-0.7761778292880475,-0.32501124038196844,2.7178270782120286,1.5791436589607917
7,24.0,11460,"Ann Arbor, MI",0.0,0.0,1.0,0.0,0.0,16.02132155205532,0.0,0.0,9.786784479446792,24611.532846715327,14009.338455628122,8817.825585862467,3.804264310411064,1.5872070687668076,0.0,554.0895121014214,1.0,0.1957356895889358,0.0,1.0,0.8042643104110642,-0.4194115704061298,-0.7688065406354669,0.4779518849706837,-0.5797307204553924,9.667339523617283,2.6653108599111826,4.328754541784418,2.068490109002826,1.6877876463463868,0.6608700040371418,0.15220024222850206,2.808700040371417,0.8360012111425112,0.7014937424303593,0.5385748889786034,8.073047388836798,0.9047398259966282,0.4632939079189924,0.2586793601842547,1.3233442172274934,-0.33574847721298523,-0.340556391989424,1.953567799333681,1.066920903286032
8,26.0,11540,"Appleton, WI",0.0,0.0,1.0,0.0,0.0,13.463585773046214,0.0,0.0,69.15799661263006,14751.50737962739,10072.051778369225,6278.151463827728,4.063392209049117,3.768207113476893,0.6206145656907815,260.3305105250423,1.0,1.0,0.0,0.8524074522138883,0.0,-0.6377242893644632,-0.9421204251729156,-0.4585772762034349,-2.4851787880122065,8.807078590247054,1.647313217676592,3.0249043097877415,2.8435154347069647,3.0249043097877415,0.1348610627827211,0.0,1.3924044340607447,0.8037977829696277,0.8037977829696277,0.0,5.582672615201074,-0.06302690853640625,-0.05864230183371409,-0.27852417655849343,0.03731588045717644,-0.5400432384180704,-0.5354435431020816,2.3128572218117434,1.403829551558743
9,37.0,12100,"Atlantic City-Hammonton, NJ",0.1104530513942955,0.0323770429724776,0.7063193929020434,0.3671821748284585,0.1104530513942955,17.507793211045303,0.3322073948408791,0.212135900271134,97.1160953664854,39604.224011269485,28655.497631033108,13295.750738423789,4.308206728366076,3.1055150789924113,0.6221845226374225,213.23433405534772,0.923817385904058,0.3854269225525984,0.1546448749602387,0.95060512882655,0.6950802041836441,0.6686430810429661,0.646861234803489,0.3550286003429347,5.090541324784915,6.105700394318748,3.328050227786073,5.483199979582202,3.5662493778951805,3.377499585263454,0.44714980284062633,0.0,2.6719497722139276,0.7415999897911004,0.18874979263172673,0.7415999897911004,9.593264326990779,1.0766066731569062,2.016482551550819,1.8573008334539822,1.5517315214327154,0.682441696298159,1.2513267996753363,1.4693828754895544,1.050339030936573
