hud_id,project,proj_cty,proj_st,proj_zip,fips2020,yr_pis,n_units,li_units
CAA20201037,MISSION VILLAGE II,TEMECULA,CA,92590,06065051200,2020,76.0,75.0
CAA20201038,MORGAN TOWER,NATIONAL CITY,CA,91950,06073011700,2020,152.0,151.0
CAA20201039,MOUNTAIN VIEW VILLAGE,LAMONT,CA,93241,06029006404,2020,41.0,40.0
CAA20201040,PATH METRO VILLAS - PHASE 2,LOS ANGELES,CA,90004,06037192700,2020,122.0,120.0
CAA20201043,PARK WESTERN APARTMENTS,LOS ANGELES,CA,90732,06037296300,2020,216.0,214.0
CAA20201044,PASEO ESTERO 4%,OAKLAND,CA,94606,06001406000,2020,60.0,60.0
CAA20201048,RENTAL ASSISTANCE DEMONSTRATION PHASE I,SACRAMENTO,CA,95822,06067004014,2020,124.0,124.0
CAA20201049,RAMPART MINT,LOS ANGELES,CA,90057,06037208620,2020,23.0,22.0
CAA20201050,RESIDENCES ON MAIN,LOS ANGELES,CA,90003,06037239310,2020,50.0,49.0
CAA20201051,RIVER PARK MANOR,NAPA,CA,94559,06055200802,2020,106.0,104.0
CAA20201052,ROBERT FARRELL + WESTERN GARDENS APARTMENTS,LOS ANGELES,CA,90047,06037237300,2020,70.0,68.0
CAA20201053,SALERNO,IRVINE,CA,92618,06059052433,2020,80.0,79.0
CAA20201054,SHOREBREEZE EXPANSION,MOUNTAIN VIEW,CA,94043,06085509202,2020,62.0,61.0
CAA20201055,STEP UP ON SECOND,SANTA MONICA,CA,90401,06037701902,2020,36.0,35.0
CAA20201057,STONEGATE VILLAGE I,PATTERSON,CA,95363,06099003201,2020,66.0,65.0
CAA20201058,SUN VALLEY SENIOR VETERANS APARTMENTS,LOS ANGELES,CA,91352,06037121210,2020,96.0,94.0
CAA20201059,SWANSEA PARK SENIOR APARTMENTS PHASE 2,LOS ANGELES,CA,90029,06037191620,2020,76.0,75.0
CAA20201061,THE MERIAN FKA PARK + MARKET,SAN DIEGO,CA,92101,06073005202,2020,86.0,85.0
CAA20201062,THE RESIDENCES AT DEPOT STREET,SANTA MARIA,CA,93458,06083002407,2020,80.0,78.0
CAA20201064,VILLA MEDANOS,ANTIOCH,CA,94509,06013307205,2020,112.0,111.0
CAA20201066,VILLA VALLEY APARTMENTS,VAN NUYS,CA,91406,06037127604,2020,146.0,145.0
CAA20201067,VISTA ESTERO,OAKLAND,CA,94606,06001406000,2020,110.0,109.0
CAA20201068,VISTA PARK I,SAN JOSE,CA,95136,06085503116,2020,83.0,82.0
CAA20201069,WALNUT WINDMERE APARTMENTS,DAVIS,CA,95618,06113010605,2020,136.0,134.0
CAA20201070,WEST PARK APARTMENTS,SAN DIEGO,CA,92101,06073005700,2020,47.0,46.0
CAA20201071,WILLOW GLEN APARTMENTS,HERCULES,CA,94547,06013359203,2020,84.0,83.0
CAA20201072,WINDSOR GARDENS,ESCONDIDO,CA,92029,06073020313,2020,132.0,130.0
CAA20202001,1601 OXFORD,BERKELEY,CA,94709,06001422400,2020,35.0,34.0
CAA20202003,1950 MISSION STREET,SAN FRANCISCO,CA,94103,06075020102,2020,157.0,155.0
CAA20202004,6TH + CESAR CHAVEZ,COACHELLA,CA,92236,06065045707,2020,105.0,104.0
CAA20202005,833 BRYANT APARTMENTS,SAN FRANCISCO,CA,94013,06075018000,2020,146.0,145.0
CAA20202006,APOLLO APARTMENTS (FKA: POWAY COMMONS),POWAY,CA,92064,06073017041,2020,44.0,43.0
CAA20202009,COUNTRYSIDE II FAMILY APARTMENTS,EL CENTRO,CA,92243,06025011202,2020,56.0,55.0
CAA20202010,COURTYARDS AT COTTONWOOD,MORENO VALLEY,CA,92553,06065042516,2020,81.0,80.0
CAA20202013,DESERT VILLAS APARTMENTS,EL CENTRO,CA,92243,06025011802,2020,172.0,170.0
CAA20202014,DOWNTOWN MADERA VETERANS + FAMILY HOUSING,MADERA,CA,93638,06039000802,2020,48.0,47.0
CAA20202015,FAIRBANKS TERRACE II,SAN DIEGO,CA,92127,06073017065,2020,31.0,30.0
CAA20202016,FOON LOK WEST,OAKLAND,CA,94606,06001403000,2020,130.0,129.0
CAA20202017,FRANK G MAR APARTMENTS,OAKLAND,CA,94612,06001403000,2020,119.0,117.0
CAA20202018,FRISHMAN HOLLOW II,TRUCKEE,CA,96161,06057001209,2020,68.0,67.0
CAA20202021,"HAMILTON, ELLIS + MARTIN PLAZA APARTMENTS",SEASIDE,CA,93955,06053013500,2020,192.0,190.0
CAA20202026,LAVENDER COURTYARD BY MUTUAL HOUSING,SACRAMENTO,CA,95814,06067000502,2020,53.0,52.0
CAA20202033,ORCHARD AT HILLTOP -FKA HILLTOP AND EUCLID FAMILY,SAN DIEGO,CA,92102,06073003404,2020,113.0,111.0
CAA20202035,PACIFIC RIM APARTMENTS,SACRAMENTO,CA,95828,06067004802,2020,32.0,31.0
CAA20202037,PARKSIDE GARDEN APARTMENTS,LOMPOC,CA,93436,06083002705,2020,48.0,47.0
CAA20202038,PAVILION COURT APARTMENTS,PICO RIVERA,CA,90660,06037500700,2020,132.0,130.0
CAA20202039,PETERSON PLACE (FKA THE PARKWAY APARTMENTS),FOLSOM,CA,95630,06067008506,2020,72.0,71.0
CAA20202041,PUEBLO DEL SOL PHASE I,LOS ANGELES,CA,90033,06037206054,2020,201.0,200.0
CAA20202043,REDWOODS AT UNIVERSITY DISTRICT,ROHNERT PARK,CA,94928,06097151309,2020,218.0,216.0
CAA20202044,RIVER CITY SENIOR APARTMENTS,PETALUMA,CA,94952,06097150701,2020,54.0,53.0
CAA20202045,ROYALS I + II APARTMENTS,LOS ANGELES,CA,90044,06037241400,2020,115.0,111.0
CAA20202049,SEQUOIA COMMONS II (FORMERLY GOSHEN VILLAGE EAST),GOSHEN,CA,93227,06107000901,2020,60.0,59.0
CAA20202054,SUGAR PINE VILLAGE (F.K.A MADERA VILLAGE),MADERA,CA,93637,06039000511,2020,52.0,51.0
CAA20202056,THE RETREAT AT MERCED APARTMENTS,MERCED,CA,95341,06047001601,2020,119.0,118.0
CAA20202057,THE STARLING (FKA ALAMEDA POINT FAMILY),ALAMEDA,CA,94501,06001428700,2020,70.0,69.0
CAA20202058,VETERANS SQUARE,PITTSBURG,CA,94565,06013310000,2020,30.0,29.0
CAA20202060,VILLA RAYMOND APARTMENTS,PASADENA,CA,91103,06037461901,2020,61.0,60.0
CAA20202062,VINTAGE AT SYCAMORE,SIMI VALLEY,CA,93065,06111008002,2020,99.0,98.0
CAA20202063,WESTLAKE CHRISTIAN TERRACE WEST,OAKLAND,CA,94611,06001403501,2020,200.0,199.0
CAA20202064,WILLOWGLEN APARTMENTS,ROHNERT PARK,CA,94928,06097151311,2020,36.0,35.0
CAA20202065,WINDSOR POINTE,CARLSBAD,CA,92008,06073017901,2020,50.0,48.0
CAA20202067,WORTHINGTON LA LUNA FAMILY APARTMENTS,IMPERIAL,CA,92251,06025011002,2020,66.0,65.0
CAA20210001,COTTAGES AT MISSION TRAIL,LAKE ELSINORE,CA,92530,06065043001,2021,143.0,142.0
CAA20210010,AMAYA VILLAGE,ORANGE COVE,CA,93646,06019006501,2021,81.0,80.0
CAA20210013,ARROYO GREEN APARTMENTS,REDWOOD CITY,CA,94063,06081610202,2021,117.0,116.0
CAA20210014,AURORA APARTMENTS,OAKLAND,CA,94609,06001401000,2021,44.0,43.0
CAA20210016,BLUE MOUNTAIN TERRACE,WINTERS,CA,95694,06113011304,2021,63.0,62.0
CAA20210017,CASA DEL RIO APARTMENTS / SANTA CRUZ RIVERFRONT AP,SANTA CRUZ,CA,95060,06087100300,2021,103.0,102.0
CAA20210018,CASA QUERENCIA,SANTA ANA,CA,92706,06059075004,2021,57.0,56.0
CAA20210022,CIVITA II FAMILY,SAN DIEGO,CA,92108,06073009203,2021,203.0,201.0
CAA20210023,COURTYARD AT THE MEADOWS,SAN LUIS OBISPO,CA,93410,06079011103,2021,36.0,35.0
CAA20210024,CREEKSIDE,DAVIS,CA,95618,06113010610,2021,90.0,89.0
CAA20210030,FIRESTONE PHOENIX,UNINCORPORATED LA CTY,CA,90001,06037535002,2021,44.0,43.0
CAA20210032,GRAMERCY PLACE APARTMENTS,LOS ANGELES,CA,90019,06037221302,2021,64.0,62.0
CAA20210035,HOBART GARDENS,LOS ANGELES,CA,90027,06037191110,2021,142.0,141.0
CAA20210040,KENSINGTON HOMES,LANCASTER,CA,93536,06037900901,2021,51.0,50.0
CAA20210043,LEIGH AVENUE SENIOR APARTMENTS,SAN JOSE,CA,95126,06085502203,2021,64.0,63.0
